,datetime,o,h,l,c,time,date
0,2018-01-02 09:00:00,10664.82,10676.73,10650.77,10661.77,09:00:00,2018-01-02
1,2018-01-02 10:00:00,10662.3,10698.88,10658.8,10695.74,10:00:00,2018-01-02
2,2018-01-02 11:00:00,10692.74,10700.33,10681.69,10689.99,11:00:00,2018-01-02
3,2018-01-02 12:00:00,10685.5,10693.3,10676.92,10684.54,12:00:00,2018-01-02
4,2018-01-02 13:00:00,10684.87,10710.73,10683.91,10710.73,13:00:00,2018-01-02
24,2018-01-03 09:00:00,10759.61,10813.16,10759.61,10799.7,09:00:00,2018-01-03
25,2018-01-03 10:00:00,10800.25,10801.79,10779.49,10786.12,10:00:00,2018-01-03
26,2018-01-03 11:00:00,10785.24,10798.45,10778.21,10790.68,11:00:00,2018-01-03
27,2018-01-03 12:00:00,10794.99,10801.75,10780.19,10796.1,12:00:00,2018-01-03
28,2018-01-03 13:00:00,10796.21,10801.57,10784.29,10801.57,13:00:00,2018-01-03
48,2018-01-04 09:00:00,10834.58,10853.46,10794.25,10823.25,09:00:00,2018-01-04
49,2018-01-04 10:00:00,10828.01,10828.01,10798.48,10817.11,10:00:00,2018-01-04
50,2018-01-04 11:00:00,10815.72,10822.4,10807.05,10811.46,11:00:00,2018-01-04
51,2018-01-04 12:00:00,10812.24,10826.17,10804.29,10823.45,12:00:00,2018-01-04
52,2018-01-04 13:00:00,10824.24,10848.63,10814.88,10848.63,13:00:00,2018-01-04
72,2018-01-05 09:00:00,10856.92,10870.13,10833.98,10840.67,09:00:00,2018-01-05
73,2018-01-05 10:00:00,10839.86,10850.81,10815.68,10845.31,10:00:00,2018-01-05
74,2018-01-05 11:00:00,10850.46,10864.2,10840.87,10864.2,11:00:00,2018-01-05
75,2018-01-05 12:00:00,10860.21,10869.57,10848.08,10869.57,12:00:00,2018-01-05
76,2018-01-05 13:00:00,10869.17,10879.8,10855.02,10879.8,13:00:00,2018-01-05
144,2018-01-08 09:00:00,10899.09,10918.47,10869.12,10913.77,09:00:00,2018-01-08
145,2018-01-08 10:00:00,10911.9,10913.67,10898.9,10909.38,10:00:00,2018-01-08
146,2018-01-08 11:00:00,10907.46,10915.14,10896.57,10908.24,11:00:00,2018-01-08
147,2018-01-08 12:00:00,10907.14,10908.4,10885.88,10894.84,12:00:00,2018-01-08
148,2018-01-08 13:00:00,10892.05,10915.75,10892.05,10915.75,13:00:00,2018-01-08
168,2018-01-09 09:00:00,10922.35,10931.0,10882.25,10900.65,09:00:00,2018-01-09
169,2018-01-09 10:00:00,10899.87,10901.56,10860.77,10885.48,10:00:00,2018-01-09
170,2018-01-09 11:00:00,10879.86,10901.74,10877.69,10897.04,11:00:00,2018-01-09
171,2018-01-09 12:00:00,10896.47,10901.34,10879.34,10884.45,12:00:00,2018-01-09
172,2018-01-09 13:00:00,10884.27,10914.89,10880.0,10914.89,13:00:00,2018-01-09
192,2018-01-10 09:00:00,10915.32,10934.75,10868.13,10880.74,09:00:00,2018-01-10
193,2018-01-10 10:00:00,10882.49,10897.22,10854.78,10855.98,10:00:00,2018-01-10
194,2018-01-10 11:00:00,10857.16,10858.64,10823.13,10845.53,11:00:00,2018-01-10
195,2018-01-10 12:00:00,10840.26,10852.72,10820.79,10824.28,12:00:00,2018-01-10
196,2018-01-10 13:00:00,10823.53,10831.12,10819.25,10831.09,13:00:00,2018-01-10
216,2018-01-11 09:00:00,10824.54,10844.08,10785.06,10797.55,09:00:00,2018-01-11
