datetime,o,h,l,c,time,date
2018/1/2 09:00,10664.82,10675.38,10664.82,10669.58,09:00:00,2018/1/2
2018/1/2 09:30,10660.92,10663.23,10655.5,10663.23,09:30:00,2018/1/2
2018/1/2 10:00,10662.3,10666.67,10660.76,10661.01,10:00:00,2018/1/2
2018/1/2 10:30,10678.83,10681.53,10673.42,10673.42,10:30:00,2018/1/2
2018/1/2 11:00,10692.74,10699.16,10692.74,10698.38,11:00:00,2018/1/2
2018/1/2 11:30,10690.48,10691.07,10685.29,10689.45,11:30:00,2018/1/2
2018/1/2 12:00,10685.5,10690.32,10682.86,10684.28,12:00:00,2018/1/2
2018/1/2 12:30,10678.6,10683.51,10678.52,10680.45,12:30:00,2018/1/2
2018/1/2 13:00,10684.87,10689.09,10684.87,10685.81,13:00:00,2018/1/2
2018/1/2 13:30,10710.73,10710.73,10710.73,10710.73,13:30:00,2018/1/2
2018/1/3 09:00,10759.61,10780.9,10759.61,10779.79,09:00:00,2018/1/3
2018/1/3 09:30,10796.2,10797.9,10792.15,10797.24,09:30:00,2018/1/3
2018/1/3 10:00,10800.25,10800.25,10793.45,10793.45,10:00:00,2018/1/3
2018/1/3 10:30,10796.89,10799.03,10791.76,10791.84,10:30:00,2018/1/3
2018/1/3 11:00,10785.24,10786.74,10781.66,10786.53,11:00:00,2018/1/3
2018/1/3 11:30,10786.44,10792.62,10786.12,10792.62,11:30:00,2018/1/3
2018/1/3 12:00,10794.99,10796.38,10789.27,10795.11,12:00:00,2018/1/3
2018/1/3 12:30,10788.79,10796.71,10787.3,10788.37,12:30:00,2018/1/3
2018/1/3 13:00,10796.21,10797.26,10791.91,10796.34,13:00:00,2018/1/3
2018/1/3 13:30,10801.57,10801.57,10801.57,10801.57,13:30:00,2018/1/3
2018/1/4 09:00,10834.58,10850.21,10834.58,10850.21,09:00:00,2018/1/4
2018/1/4 09:30,10812.52,10819.94,10812.52,10819.94,09:30:00,2018/1/4
2018/1/4 10:00,10828.01,10828.01,10815.98,10818.42,10:00:00,2018/1/4
2018/1/4 10:30,10807.66,10810.14,10802.46,10807.34,10:30:00,2018/1/4
2018/1/4 11:00,10815.72,10820,10810.97,10814.37,11:00:00,2018/1/4
2018/1/4 11:30,10815.35,10816.5,10808.46,10815.32,11:30:00,2018/1/4
2018/1/4 12:00,10812.24,10816.23,10809.08,10812.4,12:00:00,2018/1/4
2018/1/4 12:30,10812.16,10814.45,10807.53,10813.28,12:30:00,2018/1/4
2018/1/4 13:00,10824.24,10824.24,10816.04,10817.89,13:00:00,2018/1/4
2018/1/4 13:30,10848.63,10848.63,10848.63,10848.63,13:30:00,2018/1/4
2018/1/5 09:00,10856.92,10869.06,10856.92,10863.66,09:00:00,2018/1/5
2018/1/5 09:30,10842.62,10842.62,10833.98,10834.94,09:30:00,2018/1/5
2018/1/5 10:00,10839.86,10842.56,10836.3,10837.97,10:00:00,2018/1/5
2018/1/5 10:30,10831.63,10835.89,10830.63,10832.6,10:30:00,2018/1/5
2018/1/5 11:00,10850.46,10852.23,10844.52,10849.51,11:00:00,2018/1/5
2018/1/5 11:30,10848.58,10853.74,10846.52,10852.37,11:30:00,2018/1/5
2018/1/5 12:00,10860.21,10860.4,10852.8,10860.4,12:00:00,2018/1/5
2018/1/5 12:30,10857.45,10860.42,10849.93,10853.97,12:30:00,2018/1/5
2018/1/5 13:00,10869.17,10869.17,10863.58,10866.19,13:00:00,2018/1/5
2018/1/5 13:30,10879.8,10879.8,10879.8,10879.8,13:30:00,2018/1/5
2018/1/8 09:00,10899.09,10899.42,10891.56,10899.31,09:00:00,2018/1/8
2018/1/8 09:30,10875.12,10877.74,10873.64,10875.82,09:30:00,2018/1/8
2018/1/8 10:00,10911.9,10912.65,10906.1,10908.23,10:00:00,2018/1/8
2018/1/8 10:30,10904.07,10906.99,10900.1,10906.88,10:30:00,2018/1/8
2018/1/8 11:00,10907.46,10910.96,10904.64,10907.72,11:00:00,2018/1/8
2018/1/8 11:30,10909.43,10911.76,10903.41,10908.93,11:30:00,2018/1/8
2018/1/8 12:00,10907.14,10907.92,10901.3,10907.92,12:00:00,2018/1/8
2018/1/8 12:30,10894.16,10903.7,10894.16,10901.61,12:30:00,2018/1/8
2018/1/8 13:00,10892.05,10902.1,10892.05,10897.36,13:00:00,2018/1/8
2018/1/8 13:30,10915.75,10915.75,10915.75,10915.75,13:30:00,2018/1/8
2018/1/9 09:00,10922.35,10922.35,10913.59,10917.3,09:00:00,2018/1/9
2018/1/9 09:30,10888.41,10891.06,10886.35,10891.06,09:30:00,2018/1/9
2018/1/9 10:00,10899.87,10899.87,10893.2,10893.53,10:00:00,2018/1/9
2018/1/9 10:30,10873.63,10881.3,10873.63,10877.17,10:30:00,2018/1/9
2018/1/9 11:00,10879.86,10885.7,10878.97,10880.41,11:00:00,2018/1/9
2018/1/9 11:30,10899.72,10900.38,10893.14,10898.31,11:30:00,2018/1/9
2018/1/9 12:00,10896.47,10898.76,10891.68,10891.9,12:00:00,2018/1/9
2018/1/9 12:30,10893.19,10894.94,10888.19,10894.68,12:30:00,2018/1/9
2018/1/9 13:00,10884.27,10887.46,10882.17,10886.77,13:00:00,2018/1/9
2018/1/9 13:30,10914.89,10914.89,10914.89,10914.89,13:30:00,2018/1/9
2018/1/10 09:00,10915.32,10928.77,10915.32,10927.43,09:00:00,2018/1/10
2018/1/10 09:30,10891.92,10894.69,10889.03,10894.27,09:30:00,2018/1/10
2018/1/10 10:00,10882.49,10882.49,10876.19,10878.36,10:00:00,2018/1/10
2018/1/10 10:30,10886.33,10887.2,10881.04,10881.7,10:30:00,2018/1/10
2018/1/10 11:00,10857.16,10858.64,10849.17,10849.17,11:00:00,2018/1/10
2018/1/10 11:30,10837.01,10839.3,10829.74,10835.66,11:30:00,2018/1/10
2018/1/10 12:00,10840.26,10844.92,10840.26,10843.81,12:00:00,2018/1/10
2018/1/10 12:30,10847.06,10848.22,10840.18,10843.26,12:30:00,2018/1/10
2018/1/10 13:00,10823.53,10827.86,10820.79,10820.79,13:00:00,2018/1/10
2018/1/10 13:30,10831.09,10831.09,10831.09,10831.09,13:30:00,2018/1/10
2018/1/11 09:00,10824.54,10842.49,10824.54,10841.12,09:00:00,2018/1/11
2018/1/11 09:30,10819.31,10819.31,10812.4,10814.68,09:30:00,2018/1/11
2018/1/11 10:00,10796.62,10798.28,10794.07,10795.98,10:00:00,2018/1/11
2018/1/11 10:30,10781.97,10782.9,10774.27,10774.27,10:30:00,2018/1/11
2018/1/11 11:00,10778.16,10780.8,10773.77,10779.98,11:00:00,2018/1/11
2018/1/11 11:30,10782.59,10788.08,10781.02,10784.2,11:30:00,2018/1/11
2018/1/11 12:00,10784.89,10796.27,10784.89,10791.62,12:00:00,2018/1/11
2018/1/11 12:30,10777.56,10779.39,10773.14,10773.72,12:30:00,2018/1/11
2018/1/11 13:00,10784.31,10785.97,10776.83,10777.66,13:00:00,2018/1/11
2018/1/11 13:30,10810.06,10810.06,10810.06,10810.06,13:30:00,2018/1/11
2018/1/12 09:00,10818.24,10843.1,10818.24,10840.08,09:00:00,2018/1/12
2018/1/12 09:30,10862.99,10870.87,10862.99,10863.75,09:30:00,2018/1/12
2018/1/12 10:00,10891.61,10891.61,10882.56,10885.34,10:00:00,2018/1/12
2018/1/12 10:30,10884.01,10887.4,10880.2,10880.2,10:30:00,2018/1/12
2018/1/12 11:00,10894.16,10899.98,10892.38,10897.28,11:00:00,2018/1/12
2018/1/12 11:30,10886.39,10890.57,10884.94,10889.16,11:30:00,2018/1/12
2018/1/12 12:00,10890.54,10890.54,10882.54,10887.03,12:00:00,2018/1/12
2018/1/12 12:30,10880.97,10883.51,10877.26,10879.03,12:30:00,2018/1/12
2018/1/12 13:00,10879.57,10880.89,10871.29,10877.09,13:00:00,2018/1/12
2018/1/12 13:30,10883.96,10883.96,10883.96,10883.96,13:30:00,2018/1/12
2018/1/15 09:00,10932.37,10962.55,10932.37,10962.49,09:00:00,2018/1/15
2018/1/15 09:30,10929.99,10932.66,10927.64,10928.33,09:30:00,2018/1/15
2018/1/15 10:00,10929.63,10932.22,10926.89,10928.03,10:00:00,2018/1/15
2018/1/15 10:30,10928.81,10931.07,10925.57,10931,10:30:00,2018/1/15
2018/1/15 11:00,10926.97,10928.66,10922.16,10923.41,11:00:00,2018/1/15
2018/1/15 11:30,10929.14,10929.14,10923.2,10928.82,11:30:00,2018/1/15
2018/1/15 12:00,10925.02,10926.03,10917.39,10921.81,12:00:00,2018/1/15
2018/1/15 12:30,10932.04,10932.09,10928.2,10930.3,12:30:00,2018/1/15
2018/1/15 13:00,10933.52,10933.93,10929.23,10933.45,13:00:00,2018/1/15
2018/1/15 13:30,10956.31,10956.31,10956.31,10956.31,13:30:00,2018/1/15
2018/1/16 09:00,10955.81,10955.81,10945.52,10946.85,09:00:00,2018/1/16
2018/1/16 09:30,10930.68,10934,10925.54,10927.45,09:30:00,2018/1/16
2018/1/16 10:00,10929.69,10933.19,10925.45,10932.08,10:00:00,2018/1/16
2018/1/16 10:30,10946.38,10948.07,10944.77,10944.77,10:30:00,2018/1/16
