,datetime,o,h,l,c,time,date
0,2021/1/4 09:00,14720.25,14753.73,14720.25,14752.56,09:00:00,2021/1/4
10,2021/1/4 09:10,14778.68,14787.33,14778.68,14781.34,09:10:00,2021/1/4
20,2021/1/4 09:20,14732.09,14737.23,14726.3,14726.3,09:20:00,2021/1/4
30,2021/1/4 09:30,14755.14,14768.14,14755.14,14756.8,09:30:00,2021/1/4
40,2021/1/4 09:40,14750.7,14761.08,14750.7,14752.65,09:40:00,2021/1/4
50,2021/1/4 09:50,14775.88,14789.45,14775.88,14789.45,09:50:00,2021/1/4
60,2021/1/4 10:00,14789.43,14801.95,14789.43,14801.19,10:00:00,2021/1/4
70,2021/1/4 10:10,14803.15,14811.59,14801.21,14809.74,10:10:00,2021/1/4
80,2021/1/4 10:20,14830.13,14830.13,14816.61,14827.35,10:20:00,2021/1/4
90,2021/1/4 10:30,14853.4,14857.17,14842.27,14845.29,10:30:00,2021/1/4
100,2021/1/4 10:40,14841.22,14841.8,14831.36,14831.76,10:40:00,2021/1/4
110,2021/1/4 10:50,14849.74,14862.75,14840.99,14862.75,10:50:00,2021/1/4
120,2021/1/4 11:00,14855.35,14858.74,14846.59,14855.55,11:00:00,2021/1/4
130,2021/1/4 11:10,14882,14884.97,14870.88,14882.63,11:10:00,2021/1/4
140,2021/1/4 11:20,14896.45,14904.02,14891.25,14897.15,11:20:00,2021/1/4
150,2021/1/4 11:30,14912.12,14913.09,14901.85,14910.12,11:30:00,2021/1/4
160,2021/1/4 11:40,14915.62,14924.6,14914.36,14917.07,11:40:00,2021/1/4
170,2021/1/4 11:50,14900.12,14909.23,14897.25,14906.25,11:50:00,2021/1/4
180,2021/1/4 12:00,14909.95,14909.95,14890.23,14890.23,12:00:00,2021/1/4
190,2021/1/4 12:10,14909.09,14920.07,14909.09,14912.22,12:10:00,2021/1/4
200,2021/1/4 12:20,14907.79,14918.09,14905.06,14915.21,12:20:00,2021/1/4
210,2021/1/4 12:30,14920.86,14925.74,14918.1,14920.15,12:30:00,2021/1/4
220,2021/1/4 12:40,14919.8,14927.44,14918.33,14918.82,12:40:00,2021/1/4
230,2021/1/4 12:50,14930.87,14930.87,14920.15,14928.51,12:50:00,2021/1/4
240,2021/1/4 13:00,14908.64,14919.09,14907.97,14908.3,13:00:00,2021/1/4
250,2021/1/4 13:10,14916.19,14927.7,14911.32,14918.71,13:10:00,2021/1/4
260,2021/1/4 13:20,14930.72,14934,14924.07,14925.07,13:20:00,2021/1/4
270,2021/1/4 13:30,14902.03,14902.03,14902.03,14902.03,13:30:00,2021/1/4
1440,2021/1/5 09:00,14913.64,14933.08,14913.64,14921.89,09:00:00,2021/1/5
1450,2021/1/5 09:10,14934.5,14937.96,14926.86,14931.7,09:10:00,2021/1/5
1460,2021/1/5 09:20,14962.92,14973.57,14962.92,14963.17,09:20:00,2021/1/5
1470,2021/1/5 09:30,14917.96,14917.96,14907.96,14907.96,09:30:00,2021/1/5
1480,2021/1/5 09:40,14871.34,14885.17,14871.15,14885.17,09:40:00,2021/1/5
1490,2021/1/5 09:50,14905.46,14917.64,14905.46,14916.88,09:50:00,2021/1/5
1500,2021/1/5 10:00,14918.32,14920.34,14910.57,14911,10:00:00,2021/1/5
1510,2021/1/5 10:10,14932,14935.11,14925.75,14935.11,10:10:00,2021/1/5
1520,2021/1/5 10:20,14947.09,14954.52,14943.22,14943.22,10:20:00,2021/1/5
1530,2021/1/5 10:30,14942.03,14945.17,14932.9,14942.92,10:30:00,2021/1/5
1540,2021/1/5 10:40,14965.25,14965.9,14957.06,14957.06,10:40:00,2021/1/5
1550,2021/1/5 10:50,14938.83,14946.4,14938.83,14946.01,10:50:00,2021/1/5
1560,2021/1/5 11:00,14950.19,14958.28,14948.14,14948.86,11:00:00,2021/1/5
1570,2021/1/5 11:10,14933.17,14946.19,14933.17,14946.19,11:10:00,2021/1/5
1580,2021/1/5 11:20,14957.61,14960.33,14951.02,14956.93,11:20:00,2021/1/5
1590,2021/1/5 11:30,14968.23,14969.47,14964.12,14967.34,11:30:00,2021/1/5
