datetime,time,
2021/9/16 09:00,09:00:00,17354
2021/9/16 09:30,09:30:00,17436.55827
2021/9/16 10:00,10:00:00,17404.49992
2021/9/16 10:30,10:30:00,17353.44404
2021/9/16 11:00,11:00:00,17351.66245
2021/9/16 11:30,11:30:00,17346.38198
2021/9/16 12:00,12:00:00,17337.23496
2021/9/16 12:30,12:30:00,17312.31173
2021/9/16 13:00,13:00:00,17328.04565
2021/9/16 13:30,13:30:00,17330.91699
2021/9/17 09:00,09:00:00,17330.91128
2021/9/17 09:30,09:30:00,17342.05384
2021/9/17 10:00,10:00:00,17324.66014
2021/9/17 10:30,10:30:00,17352.63006
2021/9/17 11:00,11:00:00,17379.61955
2021/9/17 11:30,11:30:00,17424.30019
2021/9/17 12:00,12:00:00,17435.07357
2021/9/17 12:30,12:30:00,17437.85331
2021/9/17 13:00,13:00:00,17416.84134
2021/9/17 13:30,13:30:00,17428.82209
2021/9/22 09:00,09:00:00,17428.56086
2021/9/22 09:30,09:30:00,16994.38153
2021/9/22 10:00,10:00:00,16990.83036
2021/9/22 10:30,10:30:00,16963.29685
2021/9/22 11:00,11:00:00,16916.34794
2021/9/22 11:30,11:30:00,16952.39407
2021/9/22 12:00,12:00:00,16981.73095
2021/9/22 12:30,12:30:00,16967.55075
2021/9/22 13:00,13:00:00,16986.82095
2021/9/22 13:30,13:30:00,16963.74524
