,datetime,o,h,l,c,time,date
0,2021/12/2 09:00,17575.91,17739.85,17559.44,17728.24,09:00:00,2021/12/2
1,2021/12/2 10:00,17735.87,17741.55,17622.59,17652.4,10:00:00,2021/12/2
2,2021/12/2 11:00,17661.28,17698.33,17649.56,17686.62,11:00:00,2021/12/2
3,2021/12/2 12:00,17684.25,17724.57,17683.65,17695.34,12:00:00,2021/12/2
4,2021/12/2 13:00,17693.97,17724.88,17676.81,17724.88,13:00:00,2021/12/2
24,2021/12/3 09:00,17720.93,17781.14,17670.32,17712.31,09:00:00,2021/12/3
25,2021/12/3 10:00,17702.76,17745.5,17701.58,17710.23,10:00:00,2021/12/3
26,2021/12/3 11:00,17708.88,17755.44,17697.92,17752.23,11:00:00,2021/12/3
27,2021/12/3 12:00,17751.32,17758.4,17721.98,17721.98,12:00:00,2021/12/3
28,2021/12/3 13:00,17722.89,17743.7,17697.14,17697.14,13:00:00,2021/12/3
96,2021/12/6 09:00,17650.67,17680.33,17585.95,17667.21,09:00:00,2021/12/6
97,2021/12/6 10:00,17665.3,17715.39,17648.2,17694.07,10:00:00,2021/12/6
98,2021/12/6 11:00,17691.85,17752.37,17691.85,17748.52,11:00:00,2021/12/6
99,2021/12/6 12:00,17749.45,17763.42,17694.33,17710.37,12:00:00,2021/12/6
100,2021/12/6 13:00,17710.07,17716.59,17688.17,17688.21,13:00:00,2021/12/6
120,2021/12/7 09:00,17734.19,17751.19,17642.32,17688.94,09:00:00,2021/12/7
121,2021/12/7 10:00,17689.51,17691.34,17649.12,17672.66,10:00:00,2021/12/7
122,2021/12/7 11:00,17672.03,17696.3,17658.68,17678.55,11:00:00,2021/12/7
123,2021/12/7 12:00,17680.21,17703.35,17668.04,17690.18,12:00:00,2021/12/7
124,2021/12/7 13:00,17692.51,17796.92,17683.97,17796.92,13:00:00,2021/12/7
144,2021/12/8 09:00,17845.06,17988.88,17845.06,17919.21,09:00:00,2021/12/8
145,2021/12/8 10:00,17911.13,17934.59,17898.27,17926.61,10:00:00,2021/12/8
146,2021/12/8 11:00,17913.89,17929.63,17857.35,17867.59,11:00:00,2021/12/8
147,2021/12/8 12:00,17860.63,17895.43,17852.76,17875.24,12:00:00,2021/12/8
148,2021/12/8 13:00,17880.55,17912.21,17832.42,17832.42,13:00:00,2021/12/8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
