datetime,time,
2022/2/24 09:00,09:00:00,18055.73
2022/2/24 09:30,09:30:00,17903.14819
2022/2/24 10:00,10:00:00,17884.24766
2022/2/24 10:30,10:30:00,17932.43365
2022/2/24 11:00,11:00:00,17912.72039
2022/2/24 11:30,11:30:00,17830.80301
2022/2/24 12:00,12:00:00,17755.48033
2022/2/24 12:30,12:30:00,17711.16749
2022/2/24 13:00,13:00:00,17683.96276
2022/2/24 13:30,13:30:00,17685.19777
2022/2/25 09:00,09:00:00,17684.99749
2022/2/25 09:30,09:30:00,17759.71407
2022/2/25 10:00,10:00:00,17670.42379
2022/2/25 10:30,10:30:00,17687.98212
2022/2/25 11:00,11:00:00,17669.37398
2022/2/25 11:30,11:30:00,17670.33891
2022/2/25 12:00,12:00:00,17669.17396
2022/2/25 12:30,12:30:00,17676.82674
2022/2/25 13:00,13:00:00,17692.01763
2022/2/25 13:30,13:30:00,17726.22203
2022/3/1 09:00,09:00:00,17726.14507
2022/3/1 09:30,09:30:00,17841.23777
2022/3/1 10:00,10:00:00,17930.14056
2022/3/1 10:30,10:30:00,17947.15201
2022/3/1 11:00,11:00:00,17944.57162
2022/3/1 11:30,11:30:00,17959.4746
2022/3/1 12:00,12:00:00,17975.9995
2022/3/1 12:30,12:30:00,17977.75942
2022/3/1 13:00,13:00:00,17972.96632
2022/3/1 13:30,13:30:00,17961.38643
2022/3/2 09:00,09:00:00,17961.33058
2022/3/2 09:30,09:30:00,17884.83786
2022/3/2 10:00,10:00:00,17892.05212
2022/3/2 10:30,10:30:00,17877.22749
2022/3/2 11:00,11:00:00,17885.73535
2022/3/2 11:30,11:30:00,17890.05053
2022/3/2 12:00,12:00:00,17871.77577
2022/3/2 12:30,12:30:00,17882.08799
2022/3/2 13:00,13:00:00,17898.98875
2022/3/2 13:30,13:30:00,17944.76156
2022/3/3 09:00,09:00:00,17944.78465
2022/3/3 09:30,09:30:00,18031.84437
2022/3/3 10:00,10:00:00,17985.46301
2022/3/3 10:30,10:30:00,17982.0373
2022/3/3 11:00,11:00:00,17987.1885
2022/3/3 11:30,11:30:00,17980.21838
2022/3/3 12:00,12:00:00,17975.55468
2022/3/3 12:30,12:30:00,17976.29047
2022/3/3 13:00,13:00:00,17982.94579
2022/3/3 13:30,13:30:00,17971.81223
2022/3/4 09:00,09:00:00,17971.84911
2022/3/4 09:30,09:30:00,17804.23111
2022/3/4 10:00,10:00:00,17843.9522
2022/3/4 10:30,10:30:00,17860.64869
2022/3/4 11:00,11:00:00,17865.72916
2022/3/4 11:30,11:30:00,17848.90735
2022/3/4 12:00,12:00:00,17831.38451
2022/3/4 12:30,12:30:00,17829.11666
2022/3/4 13:00,13:00:00,17815.51432
2022/3/4 13:30,13:30:00,17791.60053
2022/3/7 09:00,09:00:00,17791.5493
2022/3/7 09:30,09:30:00,17377.71323
2022/3/7 10:00,10:00:00,17298.66724
2022/3/7 10:30,10:30:00,17236.16081
2022/3/7 11:00,11:00:00,17249.67474
2022/3/7 11:30,11:30:00,17215.92273
2022/3/7 12:00,12:00:00,17233.44579
2022/3/7 12:30,12:30:00,17220.08666
2022/3/7 13:00,13:00:00,17239.34811
2022/3/7 13:30,13:30:00,17247.04649
2022/3/8 09:00,09:00:00,17246.94975
2022/3/8 09:30,09:30:00,17097.74033
2022/3/8 10:00,10:00:00,17095.03309
2022/3/8 10:30,10:30:00,17094.45724
2022/3/8 11:00,11:00:00,17011.21568
2022/3/8 11:30,11:30:00,16926.57028
2022/3/8 12:00,12:00:00,16892.75482
2022/3/8 12:30,12:30:00,16861.27922
2022/3/8 13:00,13:00:00,16848.23624
2022/3/8 13:30,13:30:00,16867.33783
2022/3/9 09:00,09:00:00,16867.40933
2022/3/9 09:30,09:30:00,17040.92214
2022/3/9 10:00,10:00:00,17078.59593
2022/3/9 10:30,10:30:00,17109.29162
2022/3/9 11:00,11:00:00,17094.09864
2022/3/9 11:30,11:30:00,17045.86825
2022/3/9 12:00,12:00:00,17044.9166
2022/3/9 12:30,12:30:00,17074.75716
2022/3/9 13:00,13:00:00,17093.76198
2022/3/9 13:30,13:30:00,17075.50047
2022/3/10 09:00,09:00:00,17075.44877
2022/3/10 09:30,09:30:00,17432.27142
