datetime,time,
2021/12/2 09:00,09:00:00,17585.99
2021/12/2 09:30,09:30:00,17665.82201
2021/12/2 10:00,10:00:00,17760.62017
2021/12/2 10:30,10:30:00,17736.98649
2021/12/2 11:00,11:00:00,17712.58209
2021/12/2 11:30,11:30:00,17719.26685
2021/12/2 12:00,12:00:00,17730.00078
2021/12/2 12:30,12:30:00,17751.89719
2021/12/2 13:00,13:00:00,17760.69217
2021/12/2 13:30,13:30:00,17738.97217
2021/12/3 09:00,09:00:00,17739.05432
2021/12/3 09:30,09:30:00,17788.99248
2021/12/3 10:00,10:00:00,17746.03365
2021/12/3 10:30,10:30:00,17777.23889
2021/12/3 11:00,11:00:00,17775.10379
2021/12/3 11:30,11:30:00,17776.88058
2021/12/3 12:00,12:00:00,17788.74655
2021/12/3 12:30,12:30:00,17792.18866
2021/12/3 13:00,13:00:00,17788.15201
2021/12/3 13:30,13:30:00,17772.35602
2021/12/6 09:00,09:00:00,17772.27031
2021/12/6 09:30,09:30:00,17674.20972
2021/12/6 10:00,10:00:00,17712.11337
2021/12/6 10:30,10:30:00,17727.71602
2021/12/6 11:00,11:00:00,17746.53474
2021/12/6 11:30,11:30:00,17766.8283
2021/12/6 12:00,12:00:00,17771.35513
2021/12/6 12:30,12:30:00,17783.09869
2021/12/6 13:00,13:00:00,17761.62705
2021/12/6 13:30,13:30:00,17752.42596
2021/12/7 09:00,09:00:00,17752.37248
2021/12/7 09:30,09:30:00,17763.09357
2021/12/7 10:00,10:00:00,17723.19134
2021/12/7 10:30,10:30:00,17717.98368
2021/12/7 11:00,11:00:00,17713.48936
2021/12/7 11:30,11:30:00,17729.72139
2021/12/7 12:00,12:00:00,17721.99056
2021/12/7 12:30,12:30:00,17731.75652
2021/12/7 13:00,13:00:00,17739.90582
2021/12/7 13:30,13:30:00,17780.14691
2021/12/8 09:00,09:00:00,17780.41855
2021/12/8 09:30,09:30:00,17996.74627
2021/12/8 10:00,10:00:00,17989.07694
2021/12/8 10:30,10:30:00,17966.83468
2021/12/8 11:00,11:00:00,17966.44351
2021/12/8 11:30,11:30:00,17962.21632
2021/12/8 12:00,12:00:00,17929.12504
2021/12/8 12:30,12:30:00,17922.35521
2021/12/8 13:00,13:00:00,17932.2444
2021/12/8 13:30,13:30:00,17926.7612
