,datetime,o,h,l,c,time,date
0,2022-07-28 09:00:00,14978.95,15031.99,14904.21,14921.02,09:00:00,2022-07-28
1,2022-07-28 10:00:00,14921.68,14943.9,14882.81,14918.94,10:00:00,2022-07-28
2,2022-07-28 11:00:00,14909.87,14963.51,14909.87,14943.7,11:00:00,2022-07-28
3,2022-07-28 12:00:00,14943.45,14955.51,14894.44,14941.79,12:00:00,2022-07-28
4,2022-07-28 13:00:00,14941.35,14942.4,14849.94,14891.9,13:00:00,2022-07-28
24,2022-07-29 09:00:00,14950.18,15035.27,14950.18,15015.1,09:00:00,2022-07-29
25,2022-07-29 10:00:00,15015.11,15029.65,14980.16,15002.47,10:00:00,2022-07-29
26,2022-07-29 11:00:00,15002.7,15020.43,14937.51,14937.85,11:00:00,2022-07-29
27,2022-07-29 12:00:00,14940.89,14988.28,14929.49,14956.29,12:00:00,2022-07-29
28,2022-07-29 13:00:00,14958.7,15000.07,14935.67,15000.07,13:00:00,2022-07-29
96,2022-08-01 09:00:00,14982.27,14987.05,14886.81,14986.01,09:00:00,2022-08-01
97,2022-08-01 10:00:00,14988.42,14994.36,14939.73,14966.82,10:00:00,2022-08-01
98,2022-08-01 11:00:00,14967.27,14977.48,14930.27,14954.14,11:00:00,2022-08-01
99,2022-08-01 12:00:00,14953.41,14962.53,14928.66,14944.25,12:00:00,2022-08-01
100,2022-08-01 13:00:00,14944.12,14981.69,14923.88,14981.69,13:00:00,2022-08-01
120,2022-08-02 09:00:00,14860.94,14860.94,14663.46,14688.62,09:00:00,2022-08-02
121,2022-08-02 10:00:00,14689.29,14750.61,14688.32,14733.67,10:00:00,2022-08-02
122,2022-08-02 11:00:00,14733.47,14738.5,14686.12,14693.53,11:00:00,2022-08-02
123,2022-08-02 12:00:00,14693.95,14710.26,14671.7,14701.11,12:00:00,2022-08-02
124,2022-08-02 13:00:00,14705.34,14754.27,14699.22,14747.23,13:00:00,2022-08-02
144,2022-08-03 09:00:00,14757.51,14772.92,14673.35,14726.7,09:00:00,2022-08-03
145,2022-08-03 10:00:00,14729.68,14751.31,14705.59,14733.15,10:00:00,2022-08-03
146,2022-08-03 11:00:00,14733.33,14745.86,14707.77,14711.71,11:00:00,2022-08-03
147,2022-08-03 12:00:00,14711.49,14724.52,14684.02,14684.78,12:00:00,2022-08-03
148,2022-08-03 13:00:00,14684.06,14777.02,14682.2,14777.02,13:00:00,2022-08-03
168,2022-08-04 09:00:00,14741.47,14766.57,14672.4,14703.13,09:00:00,2022-08-04
169,2022-08-04 10:00:00,14702.78,14724.27,14689.58,14710.8,10:00:00,2022-08-04
170,2022-08-04 11:00:00,14711.01,14712.39,14545.69,14569.59,11:00:00,2022-08-04
171,2022-08-04 12:00:00,14572.96,14710.11,14570.38,14707.94,12:00:00,2022-08-04
172,2022-08-04 13:00:00,14697.59,14746.54,14685.31,14702.2,13:00:00,2022-08-04
192,2022-08-05 09:00:00,14802.34,14978.83,14802.34,14971.47,09:00:00,2022-08-05
193,2022-08-05 10:00:00,14971.41,14998.57,14941.64,14983.67,10:00:00,2022-08-05
194,2022-08-05 11:00:00,14981.5,15020.33,14970.92,15003.16,11:00:00,2022-08-05
195,2022-08-05 12:00:00,15011.29,15034.98,14995.55,15033.73,12:00:00,2022-08-05
196,2022-08-05 13:00:00,15033.43,15041.41,15020.82,15036.04,13:00:00,2022-08-05
264,2022-08-08 09:00:00,14972.21,15015.12,14908.17,15011.81,09:00:00,2022-08-08
265,2022-08-08 10:00:00,15011.77,15015.64,14954.52,14991.57,10:00:00,2022-08-08
266,2022-08-08 11:00:00,14991.23,15016.32,14968.86,14995.3,11:00:00,2022-08-08
267,2022-08-08 12:00:00,14992.98,15016.33,14972.17,15012.62,12:00:00,2022-08-08
268,2022-08-08 13:00:00,15014.41,15034.87,15002.87,15020.41,13:00:00,2022-08-08
288,2022-08-09 09:00:00,14965.12,14972.53,14905.23,14923.18,09:00:00,2022-08-09
289,2022-08-09 10:00:00,14924.76,14977.2,14915.62,14977.2,10:00:00,2022-08-09
290,2022-08-09 11:00:00,14975.05,15077.63,14964.7,15058.98,11:00:00,2022-08-09
291,2022-08-09 12:00:00,15066.42,15070.21,15033.04,15056.29,12:00:00,2022-08-09
292,2022-08-09 13:00:00,15054.76,15057.94,15027.72,15050.28,13:00:00,2022-08-09
312,2022-08-10 09:00:00,14940.76,14978.65,14890.55,14963.66,09:00:00,2022-08-10
313,2022-08-10 10:00:00,14963.01,14969.87,14930.11,14940.49,10:00:00,2022-08-10
314,2022-08-10 11:00:00,14941.39,14982.33,14939.62,14974.16,11:00:00,2022-08-10
315,2022-08-10 12:00:00,14968.38,14977.96,14932.18,14959.47,12:00:00,2022-08-10
316,2022-08-10 13:00:00,14959.12,14978.3,14932.64,14939.02,13:00:00,2022-08-10
