,Call_Code,Call_Buy_price,Call_Sell_price,Put_Code,Put_Buy_price,Put_Sell_price
0,TXO15700D2,1560,1600,TXO15700P2,2,2.3
1,TXO15800D2,1460,1500,TXO15800P2,2.4,2.5
2,TXO15900D2,1370,1400,TXO15900P2,2.7,3
3,TXO16000D2,1270,1300,TXO16000P2,3.4,3.7
4,TXO16100D2,1170,1200,TXO16100P2,4.3,4.5
5,TXO16200D2,1070,1100,TXO16200P2,5.6,5.7
6,TXO16300D2,905,1050,TXO16300P2,7.5,7.8
7,TXO16400D2,880,900,TXO16400P2,10,10.5
8,TXO16500D2,785,800,TXO16500P2,14,14.5
9,TXO16600D2,700,705,TXO16600P2,19.5,20.5
10,TXO16700D2,600,610,TXO16700P2,28,28.5
11,TXO16800D2,515,525,TXO16800P2,38.5,39
12,TXO16900D2,431,433,TXO16900P2,52,53
13,TXO17000D2,349,351,TXO17000P2,70,72
14,TXO17100D2,273,275,TXO17100P2,95,96
15,TXO17200D2,204,205,TXO17200P2,126,127
16,TXO17300D2,145,146,TXO17300P2,166,167
17,TXO17400D2,95,97,TXO17400P2,216,217
18,TXO17500D2,58,59,TXO17500P2,278,281
19,TXO17600D2,31.5,32,TXO17600P2,351,356
20,TXO17700D2,16,16.5,TXO17700P2,433,443
21,TXO17800D2,7.8,8.1,TXO17800P2,525,535
22,TXO17900D2,4,4.2,TXO17900P2,615,630
23,TXO18000D2,2.2,2.5,TXO18000P2,715,730
24,TXO18100D2,1.5,1.8,TXO18100P2,810,835
25,TXO18200D2,1.1,1.4,TXO18200P2,910,935
26,TXO18300D2,0.9,1.2,TXO18300P2,1010,1040
27,TXO18400D2,0.7,1.2,TXO18400P2,1110,1140
28,TXO18500D2,0.6,0.9,TXO18500P2,1200,1240
29,TXO18600D2,0.1,1.3,TXO18600P2,1300,1340
